scenario,seed,S,T0,N,max.followup.time,dropout.rate,sigma.e,reg1.name,reg2.name,reg3.name,reg4.name,reg1.allctn,reg2.allctn,reg3.allctn,reg4.allctn,reg1.trtmt.hr,reg2.trtmt.hr,reg3.trtmt.hr,reg4.trtmt.hr
1,963829,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
2,629440,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
3,575880,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
4,437945,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
5,1041976,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
6,612726,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
7,209607,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
8,556969,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
9,518532,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
10,414479,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
11,847667,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
