scenario,seed,S,T0,N,max.followup.time,max.enroll.time,dropout.rate,base.haz,reg1.name,reg2.name,reg3.name,reg4.name,reg1.allctn,reg2.allctn,reg3.allctn,reg4.allctn,reg1.trtmt.hr,reg2.trtmt.hr,reg3.trtmt.hr,reg4.trtmt.hr
1,1012971,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
2,467615,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
3,1031470,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
4,800550,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
5,657655,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
6,982921,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
7,988517,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
8,427758,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
9,325611,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
10,781575,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
11,349506,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
12,32404,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
13,105392,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
14,306243,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
15,909176,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
16,804878,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
17,227431,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
18,564416,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
19,555269,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
20,1016113,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
21,160782,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,0.868,0.868,0.868
22,687633,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,0.868,0.868,0.868
23,930869,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,0.868,0.868,0.868
24,523225,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,0.868,0.868,0.868
25,794433,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,0.868,0.868,0.868
26,549391,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,0.868,0.868,0.868
27,968856,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,0.868,0.868,0.868
28,1033453,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,0.868,0.868,0.868
29,418048,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,0.868,0.868,0.868
30,565910,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,0.868,0.868,0.868
31,595252,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,0.868,0.868,0.868
32,861308,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,0.868,0.868,0.868
33,167973,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,0.868,0.868,0.868
34,476306,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,0.868,0.868,0.868
35,571919,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,0.868,0.868,0.868
36,30333,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,0.868,0.868,0.868
37,603060,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,0.868,0.868,0.868
38,264527,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,0.868,0.868,0.868
39,1016006,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,0.868,0.868,0.868
40,818686,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,0.868,0.868,0.868
41,374566,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,0.868,0.868
42,402128,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,0.868,0.868
43,617150,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,0.868,0.868
44,251435,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,0.868,0.868
45,499543,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,0.868,0.868
46,711810,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,0.868,0.868
47,497429,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,0.868,0.868
48,194577,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,0.868,0.868
49,273220,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,0.868,0.868
50,556784,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,0.868,0.868
51,858091,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,0.868,0.868
52,322130,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,0.868,0.868
53,346896,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,0.868,0.868
54,240483,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,0.868,0.868
55,238688,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,0.868,0.868
56,924920,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,0.868,0.868
57,450660,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,0.868,0.868
58,328534,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,0.868,0.868
59,826545,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,0.868,0.868
60,621562,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,0.868,0.868
61,788377,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,1,0.868
62,893485,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,1,0.868
63,805804,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,1,0.868
64,455310,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,1,0.868
65,991191,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,1,0.868
66,103517,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,1,0.868
67,33344,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,1,0.868
