scenario,seed,S,T0,N,max.followup.time,max.enroll.time,dropout.rate,base.haz,reg1.name,reg2.name,reg3.name,reg4.name,reg1.allctn,reg2.allctn,reg3.allctn,reg4.allctn,reg1.trtmt.hr,reg2.trtmt.hr,reg3.trtmt.hr,reg4.trtmt.hr
1,748158,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
2,68719,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
3,464859,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
4,188553,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
5,520059,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
6,138358,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
7,233349,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
8,774741,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
9,1042645,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
10,1006609,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
11,409853,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.4,0.2,0.2,0.2,1,0.868,0.868,0.868
12,247448,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.4,0.2,0.2,0.2,1,0.868,0.868,0.868
13,904897,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.4,0.2,0.2,0.2,1,0.868,0.868,0.868
14,851120,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.4,0.2,0.2,0.2,1,0.868,0.868,0.868
15,544843,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.4,0.2,0.2,0.2,1,0.868,0.868,0.868
16,784114,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.4,0.2,0.2,0.2,1,0.868,0.868,0.868
17,715411,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.4,0.2,0.2,0.2,1,0.868,0.868,0.868
18,958600,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.4,0.2,0.2,0.2,1,0.868,0.868,0.868
19,125083,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.4,0.2,0.2,0.2,1,0.868,0.868,0.868
20,982895,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.4,0.2,0.2,0.2,1,0.868,0.868,0.868
21,834528,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.33333,0.33333,0.16667,0.16667,1,1,0.868,0.868
22,398855,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.33333,0.33333,0.16667,0.16667,1,1,0.868,0.868
23,303779,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.33333,0.33333,0.16667,0.16667,1,1,0.868,0.868
24,450227,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.33333,0.33333,0.16667,0.16667,1,1,0.868,0.868
25,66564,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.33333,0.33333,0.16667,0.16667,1,1,0.868,0.868
26,287323,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.33333,0.33333,0.16667,0.16667,1,1,0.868,0.868
27,1564,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.33333,0.33333,0.16667,0.16667,1,1,0.868,0.868
28,39397,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.33333,0.33333,0.16667,0.16667,1,1,0.868,0.868
29,35800,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.33333,0.33333,0.16667,0.16667,1,1,0.868,0.868
30,246150,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.33333,0.33333,0.16667,0.16667,1,1,0.868,0.868
31,936961,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.28571,0.28571,0.28571,0.14287,1,1,1,0.868
32,230542,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.28571,0.28571,0.28571,0.14287,1,1,1,0.868
33,432046,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.28571,0.28571,0.28571,0.14287,1,1,1,0.868
34,656966,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.28571,0.28571,0.28571,0.14287,1,1,1,0.868
35,575415,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.28571,0.28571,0.28571,0.14287,1,1,1,0.868
36,36870,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.28571,0.28571,0.28571,0.14287,1,1,1,0.868
37,995879,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.28571,0.28571,0.28571,0.14287,1,1,1,0.868
38,806815,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.28571,0.28571,0.28571,0.14287,1,1,1,0.868
39,522100,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.28571,0.28571,0.28571,0.14287,1,1,1,0.868
40,821244,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.28571,0.28571,0.28571,0.14287,1,1,1,0.868
41,392011,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,1,1
