scenario,seed,S,T0,N,trtmt.allctn,cntrl.mean,sd.Y,reg1.name,reg2.name,reg3.name,reg4.name,reg5.name,reg1.allctn,reg2.allctn,reg3.allctn,reg4.allctn,reg5.allctn,reg1.trtmt.mean,reg2.trtmt.mean,reg3.trtmt.mean,reg4.trtmt.mean,reg5.trtmt.mean
1,499587,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.116,0.116,0.116,0.116,0.116
2,809378,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.116,0.116,0.116,0.116,0.116
3,617133,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.116,0.116,0.116,0.116,0.116
4,353982,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.116,0.116,0.116,0.116,0.116
5,250128,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.116,0.116,0.116,0.116,0.116
6,1030908,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.116,0.116,0.116,0.116,0.116
7,238012,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.116,0.116,0.116,0.116,0.116
8,223522,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.116,0.116,0.116,0.116,0.116
9,125680,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.116,0.116,0.116,0.116,0.116
10,857797,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.116,0.116,0.116,0.116,0.116
11,50728,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.33333,0.16667,0.16667,0.16667,0.16666,0.082,0.116,0.116,0.116,0.116
12,1013768,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.33333,0.16667,0.16667,0.16667,0.16666,0.082,0.116,0.116,0.116,0.116
13,245591,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.33333,0.16667,0.16667,0.16667,0.16666,0.082,0.116,0.116,0.116,0.116
14,977762,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.33333,0.16667,0.16667,0.16667,0.16666,0.082,0.116,0.116,0.116,0.116
15,584065,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.33333,0.16667,0.16667,0.16667,0.16666,0.082,0.116,0.116,0.116,0.116
16,420907,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.33333,0.16667,0.16667,0.16667,0.16666,0.082,0.116,0.116,0.116,0.116
17,1019793,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.33333,0.16667,0.16667,0.16667,0.16666,0.082,0.116,0.116,0.116,0.116
18,264072,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.33333,0.16667,0.16667,0.16667,0.16666,0.082,0.116,0.116,0.116,0.116
19,441370,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.33333,0.16667,0.16667,0.16667,0.16666,0.082,0.116,0.116,0.116,0.116
20,412769,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.33333,0.16667,0.16667,0.16667,0.16666,0.082,0.116,0.116,0.116,0.116
21,397584,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.28571,0.28571,0.14286,0.14286,0.14286,0.082,0.082,0.116,0.116,0.116
22,722898,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.28571,0.28571,0.14286,0.14286,0.14286,0.082,0.082,0.116,0.116,0.116
23,1016402,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.28571,0.28571,0.14286,0.14286,0.14286,0.082,0.082,0.116,0.116,0.116
24,149009,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.28571,0.28571,0.14286,0.14286,0.14286,0.082,0.082,0.116,0.116,0.116
25,440081,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.28571,0.28571,0.14286,0.14286,0.14286,0.082,0.082,0.116,0.116,0.116
26,247018,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.28571,0.28571,0.14286,0.14286,0.14286,0.082,0.082,0.116,0.116,0.116
27,558236,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.28571,0.28571,0.14286,0.14286,0.14286,0.082,0.082,0.116,0.116,0.116
28,905061,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.28571,0.28571,0.14286,0.14286,0.14286,0.082,0.082,0.116,0.116,0.116
29,627881,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.28571,0.28571,0.14286,0.14286,0.14286,0.082,0.082,0.116,0.116,0.116
30,653770,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.28571,0.28571,0.14286,0.14286,0.14286,0.082,0.082,0.116,0.116,0.116
31,855985,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.25,0.25,0.25,0.125,0.125,0.082,0.082,0.082,0.116,0.116
32,508660,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.25,0.25,0.25,0.125,0.125,0.082,0.082,0.082,0.116,0.116
33,305358,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.25,0.25,0.25,0.125,0.125,0.082,0.082,0.082,0.116,0.116
34,776795,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.25,0.25,0.25,0.125,0.125,0.082,0.082,0.082,0.116,0.116
