scenario,seed,S,T0,N,trtmt.allctn,cntrl.mean,sd.Y,reg1.name,reg2.name,reg3.name,reg4.name,reg5.name,reg1.allctn,reg2.allctn,reg3.allctn,reg4.allctn,reg5.allctn,reg1.trtmt.mean,reg2.trtmt.mean,reg3.trtmt.mean,reg4.trtmt.mean,reg5.trtmt.mean
1,868788,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.116,0.116,0.116,0.116,0.116
2,504726,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.116,0.116,0.116,0.116,0.116
3,300511,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.116,0.116,0.116,0.116,0.116
4,873012,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.116,0.116,0.116,0.116,0.116
5,455307,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.116,0.116,0.116,0.116,0.116
6,569203,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.116,0.116,0.116,0.116,0.116
7,398746,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.116,0.116,0.116,0.116,0.116
8,682327,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.116,0.116,0.116,0.116,0.116
9,415980,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.116,0.116,0.116,0.116,0.116
10,73192,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.116,0.116,0.116,0.116,0.116
11,443470,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.082,0.116,0.116,0.116,0.116
12,330466,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.082,0.116,0.116,0.116,0.116
13,224186,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.082,0.116,0.116,0.116,0.116
14,45234,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.082,0.116,0.116,0.116,0.116
15,105319,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.082,0.116,0.116,0.116,0.116
16,256593,5,5,1508,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.082,0.116,0.116,0.116,0.116
